格式化上车站点编号,格式化下车站点编号,一天内刷卡数
001_U_20,001_U_32,3
001_U_20,001_U_33,2
001_U_20,001_U_34,17
001_U_23,001_U_25,2
001_U_23,001_U_29,1
001_U_24,001_U_25,1
001_U_24,001_U_32,1
001_U_25,001_U_26,3
001_U_25,001_U_29,2
001_U_25,001_U_31,3
001_U_25,001_U_32,1
001_U_25,001_U_34,1
001_U_26,001_U_29,1
001_U_26,001_U_30,1
001_U_27,001_U_31,1
001_U_27,001_U_33,1
001_U_28,001_U_34,2
001_U_29,001_U_30,1
001_U_29,001_U_31,1
001_U_29,001_U_34,4
001_U_30,001_U_34,1
001_U_31,001_U_34,4
001_U_32,001_U_34,1
002_D_01,002_D_04,1
002_D_01,002_D_06,1
002_D_01,002_D_08,1
002_D_01,002_D_09,1
002_D_01,002_D_13,1
002_D_01,002_D_28,1
002_D_01,002_D_43,1
002_D_03,002_D_04,1
002_D_03,002_D_06,1
002_D_03,002_D_25,1
002_D_03,002_D_28,1
002_D_03,002_D_30,1
002_D_05,002_D_09,1
002_D_05,002_D_30,1
002_D_06,002_D_07,1
002_D_06,002_D_12,1
002_D_06,002_D_16,1
002_D_06,002_D_22,1
002_D_06,002_D_31,1
002_D_06,002_D_35,2
002_D_07,002_D_10,3
002_D_07,002_D_12,3
002_D_07,002_D_13,1
002_D_07,002_D_14,3
002_D_07,002_D_17,2
002_D_08,002_D_12,1
002_D_08,002_D_17,1
002_D_08,002_D_29,1
002_D_08,002_D_30,1
002_D_09,002_D_30,2
002_D_10,002_D_43,1
002_D_11,002_D_24,2
002_D_11,002_D_29,1
002_D_12,002_D_29,1
002_D_12,002_D_30,1
002_D_12,002_D_31,2
002_D_12,002_D_33,1
002_D_13,002_D_15,1
002_D_13,002_D_18,2
002_D_13,002_D_34,1
002_D_14,002_D_15,1
002_D_14,002_D_17,1
002_D_14,002_D_18,5
002_D_14,002_D_28,1
002_D_14,002_D_31,1
002_D_14,002_D_33,1
002_D_14,002_D_34,2
002_D_14,002_D_35,1
002_D_15,002_D_17,1
002_D_15,002_D_31,1
002_D_15,002_D_37,1
002_D_16,002_D_28,1
002_D_16,002_D_31,1
002_D_19,002_D_24,3
002_D_19,002_D_30,2
002_D_21,002_D_24,1
002_D_21,002_D_43,1
002_D_30,002_D_35,1
002_D_34,002_D_43,1
002_U_01,002_U_08,1
002_U_01,002_U_09,1
002_U_01,002_U_10,1
002_U_01,002_U_11,2
002_U_01,002_U_13,1
002_U_01,002_U_18,1
002_U_01,002_U_22,2
002_U_01,002_U_23,1
002_U_01,002_U_25,1
002_U_01,002_U_30,1
002_U_01,002_U_33,1
002_U_01,002_U_39,1
002_U_01,002_U_42,1
002_U_03,002_U_04,1
002_U_03,002_U_10,1
002_U_03,002_U_24,1
002_U_03,002_U_34,1
002_U_05,002_U_23,1
002_U_06,002_U_29,1
002_U_07,002_U_11,1
002_U_07,002_U_21,2
002_U_07,002_U_22,1
002_U_07,002_U_30,1
002_U_07,002_U_37,2
002_U_08,002_U_09,1
002_U_08,002_U_30,2
002_U_08,002_U_31,1
002_U_09,002_U_10,2
002_U_09,002_U_30,1
002_U_09,002_U_32,1
002_U_10,002_U_11,1
002_U_10,002_U_28,1
002_U_10,002_U_29,2
002_U_10,002_U_30,1
002_U_10,002_U_32,2
002_U_11,002_U_13,1
002_U_11,002_U_21,1
002_U_11,002_U_25,2
002_U_11,002_U_27,1
002_U_11,002_U_28,1
002_U_11,002_U_32,1
002_U_11,002_U_34,2
002_U_12,002_U_39,1
002_U_12,002_U_41,1
002_U_13,002_U_18,2
002_U_13,002_U_28,1
002_U_13,002_U_32,1
002_U_13,002_U_35,1
002_U_13,002_U_36,1
002_U_13,002_U_37,1
002_U_14,002_U_33,1
002_U_15,002_U_30,1
002_U_15,002_U_42,1
002_U_18,002_U_19,1
002_U_19,002_U_25,1
002_U_19,002_U_28,1
002_U_19,002_U_30,1
002_U_19,002_U_33,2
002_U_22,002_U_35,1
002_U_22,002_U_37,1
002_U_25,002_U_30,1
002_U_25,002_U_31,2
002_U_26,002_U_30,3
002_U_26,002_U_36,1
002_U_27,002_U_30,1
002_U_27,002_U_31,1
002_U_27,002_U_37,2
002_U_28,002_U_37,1
002_U_29,002_U_31,1
002_U_29,002_U_33,1
002_U_30,002_U_35,2
002_U_30,002_U_41,1
002_U_32,002_U_33,1
002_U_32,002_U_35,1
002_U_32,002_U_37,3
002_U_33,002_U_35,1
002_U_34,002_U_39,1
002_U_36,002_U_42,1
002_U_39,002_U_42,1
003_D_01,003_D_02,1
003_D_01,003_D_04,1
003_D_01,003_D_05,2
003_D_01,003_D_07,7
003_D_02,003_D_05,4
003_D_02,003_D_06,1
003_D_02,003_D_07,2
003_D_03,003_D_05,1
003_D_04,003_D_05,1
003_D_04,003_D_06,2
003_D_04,003_D_07,32
003_D_04,016_D_12,1
003_D_05,003_D_07,6
003_D_06,003_D_07,2
003_U_01,003_U_02,1
003_U_01,003_U_03,2
003_U_01,003_U_04,28
003_U_01,003_U_05,2
003_U_01,003_U_06,3
003_U_01,003_U_07,8
003_U_01,011_D_20,1
003_U_02,003_U_04,2
003_U_02,003_U_06,2
003_U_03,003_U_04,1
003_U_03,003_U_05,1
003_U_03,003_U_06,4
003_U_03,003_U_07,3
003_U_04,003_U_05,1
003_U_04,003_U_06,2
003_U_04,003_U_07,2
004_D_01,004_D_29,1
004_D_02,004_D_11,1
004_D_04,004_D_13,3
004_D_05,004_D_06,1
004_D_05,004_D_20,1
004_D_07,004_D_13,1
004_D_14,004_D_20,3
004_D_16,004_D_29,3
004_U_01,004_U_29,1
004_U_03,004_U_12,1
004_U_04,004_U_12,2
004_U_04,004_U_14,2
004_U_04,004_U_17,3
004_U_04,004_U_32,1
004_U_05,004_U_17,1
004_U_05,004_U_19,2
004_U_05,022_D_04,1
004_U_06,004_U_22,1
004_U_07,004_U_15,1
004_U_07,004_U_29,1
004_U_13,004_U_14,6
004_U_13,004_U_17,1
004_U_13,004_U_19,1
004_U_13,004_U_23,1
004_U_13,004_U_24,2
004_U_13,004_U_28,1
004_U_13,004_U_29,8
004_U_13,004_U_30,2
004_U_13,004_U_31,2
004_U_13,004_U_32,1
004_U_20,004_U_24,1
004_U_20,004_U_28,1
004_U_24,004_U_29,1
004_U_31,004_U_32,1
005_D_01,005_D_49,1
005_D_01,005_D_63,1
005_D_01,005_D_67,1
005_D_02,005_D_09,2
005_D_02,005_D_18,1
005_D_02,005_D_23,1
005_D_03,005_D_68,1
005_D_04,005_D_05,1
005_D_04,005_D_53,1
005_D_05,005_D_06,1
005_D_05,005_D_47,1
005_D_05,005_D_49,7
005_D_05,005_D_51,1
005_D_05,005_D_53,1
005_D_05,005_D_62,1
005_D_05,005_D_64,1
005_D_06,005_D_10,1
005_D_06,005_D_13,1
005_D_07,005_D_67,1
005_D_08,005_D_20,1
005_D_08,005_D_47,1
005_D_08,005_D_49,1
005_D_08,005_D_50,1
005_D_08,005_D_51,1
005_D_08,005_D_60,1
005_D_08,005_D_64,1
005_D_08,005_D_68,3
005_D_09,005_D_22,1
005_D_09,005_D_60,3
005_D_09,005_D_65,1
005_D_09,005_D_70,1
005_D_09,005_D_71,1
005_D_10,005_D_65,1
005_D_11,005_D_64,2
005_D_12,005_D_53,1
005_D_12,005_D_54,1
005_D_12,005_D_56,1
005_D_12,005_D_62,1
005_D_13,005_D_67,1
005_D_14,005_D_18,1
005_D_14,005_D_49,3
005_D_14,005_D_67,1
005_D_15,005_D_16,1
005_D_15,005_D_18,2
005_D_15,005_D_23,1
005_D_15,005_D_49,1
005_D_15,005_D_60,1
005_D_15,005_D_63,1
005_D_15,005_D_64,2
005_D_15,005_D_65,1
005_D_15,005_D_68,2
005_D_15,005_D_71,3
005_D_18,005_D_35,1
005_D_18,005_D_64,1
005_D_18,005_D_65,1
005_D_19,005_D_30,1
005_D_19,005_D_49,2
005_D_19,005_D_50,2
005_D_19,005_D_51,1
005_D_19,005_D_64,1
005_D_20,005_D_56,1
005_D_21,005_D_49,3
005_D_21,005_D_70,1
005_D_22,005_D_29,1
005_D_23,005_D_24,1
005_D_23,005_D_49,1
005_D_23,005_D_51,1
005_D_23,005_D_53,2
005_D_23,005_D_54,1
005_D_23,005_D_57,1
005_D_23,005_D_63,1
005_D_51,005_D_62,1
005_D_54,005_D_67,1
005_D_54,005_D_68,2
005_D_55,005_D_65,1
005_D_63,005_D_64,1
005_U_01,005_U_51,1
005_U_01,005_U_58,3
005_U_01,005_U_64,1
005_U_02,005_U_24,3
005_U_02,005_U_49,1
005_U_02,005_U_52,1
005_U_02,005_U_63,1
005_U_02,005_U_64,1
005_U_02,005_U_68,1
005_U_04,005_U_19,2
005_U_04,005_U_51,1
005_U_04,005_U_64,2
005_U_04,005_U_69,1
005_U_05,005_U_24,1
005_U_05,005_U_54,2
005_U_05,005_U_58,2
005_U_05,005_U_64,1
005_U_05,005_U_68,1
005_U_06,005_U_19,1
005_U_06,005_U_24,1
005_U_06,005_U_59,2
005_U_06,005_U_66,1
005_U_06,005_U_72,1
005_U_07,005_U_19,1
005_U_07,005_U_24,2
005_U_07,005_U_51,1
005_U_07,005_U_54,2
005_U_07,005_U_58,1
005_U_07,005_U_62,1
005_U_07,005_U_64,1
005_U_08,005_U_11,1
005_U_08,005_U_54,2
005_U_08,005_U_64,1
005_U_09,005_U_24,1
005_U_10,005_U_24,1
005_U_10,005_U_51,2
005_U_10,005_U_53,1
005_U_10,005_U_54,2
005_U_10,005_U_58,2
005_U_10,005_U_62,2
005_U_10,005_U_68,1
005_U_11,005_U_49,2
005_U_11,005_U_58,1
005_U_11,005_U_66,1
005_U_11,005_U_72,1
005_U_12,005_U_22,1
005_U_12,005_U_61,1
005_U_12,005_U_68,1
005_U_13,005_U_24,1
005_U_13,005_U_54,1
005_U_13,005_U_64,1
005_U_13,005_U_68,1
005_U_14,005_U_54,2
005_U_14,005_U_56,1
005_U_14,005_U_58,2
005_U_14,005_U_64,4
005_U_16,005_U_49,1
005_U_16,005_U_56,1
005_U_16,005_U_68,1
005_U_17,005_U_53,2
005_U_18,005_U_61,1
005_U_19,005_U_49,1
005_U_20,005_U_24,2
005_U_20,005_U_49,2
005_U_20,005_U_53,2
005_U_20,005_U_54,1
005_U_20,005_U_61,1
005_U_20,005_U_68,2
005_U_21,005_U_24,3
005_U_21,005_U_49,2
005_U_21,005_U_53,1
005_U_21,005_U_54,1
005_U_21,005_U_56,1
005_U_21,005_U_68,1
005_U_22,005_U_49,1
005_U_22,005_U_54,1
005_U_22,005_U_64,1
005_U_22,005_U_68,1
005_U_23,005_U_64,1
005_U_24,005_U_52,1
005_U_24,005_U_54,1
005_U_24,005_U_59,1
005_U_25,005_U_44,1
005_U_25,005_U_47,1
005_U_25,005_U_48,1
005_U_25,005_U_49,2
005_U_25,005_U_52,2
005_U_25,005_U_53,1
005_U_25,005_U_54,5
005_U_25,005_U_56,2
005_U_25,005_U_58,2
005_U_25,005_U_59,2
005_U_25,005_U_64,1
005_U_25,005_U_68,7
005_U_25,005_U_72,1
005_U_26,005_U_54,1
005_U_26,005_U_64,1
005_U_26,005_U_68,1
005_U_54,005_U_56,1
005_U_54,005_U_63,1
005_U_54,005_U_68,1
005_U_54,005_U_70,1
005_U_61,005_U_65,1
005_U_63,005_U_67,1
006_D_01,006_D_02,2
006_D_01,006_D_05,1
006_D_01,006_D_14,1
006_D_01,006_D_32,1
006_D_02,006_D_22,1
006_D_02,006_D_38,1
006_D_04,006_D_09,1
006_D_04,006_D_12,1
006_D_04,006_D_27,1
006_D_04,006_D_31,1
006_D_04,006_D_40,1
006_D_05,006_D_06,3
006_D_05,006_D_09,1
006_D_05,006_D_35,1
006_D_05,006_D_40,1
006_D_05,006_D_42,3
006_D_05,006_D_43,1
006_D_06,006_D_35,1
006_D_06,006_D_36,1
006_D_07,006_D_08,2
006_D_07,006_D_12,1
006_D_07,006_D_35,1
006_D_07,006_D_43,1
006_D_08,006_D_09,1
006_D_08,006_D_10,1
006_D_08,006_D_14,1
006_D_08,006_D_21,1
006_D_08,006_D_36,1
006_D_08,006_D_43,1
006_D_09,006_D_17,2
006_D_09,006_D_32,1
006_D_09,006_D_35,1
006_D_09,006_D_43,2
006_D_10,006_D_22,1
006_D_10,006_D_35,1
006_D_11,006_D_17,1
006_D_11,006_D_31,1
006_D_11,006_D_35,1
006_D_12,006_D_22,1
006_D_12,006_D_27,3
006_D_12,006_D_32,1
006_D_12,006_D_43,1
006_D_13,006_D_15,1
006_D_13,006_D_23,1
006_D_13,006_D_40,4
006_D_13,006_D_42,1
006_D_13,006_D_43,1
006_D_14,006_D_42,1
006_D_14,006_D_43,1
006_D_15,006_D_25,1
006_D_15,006_D_35,1
006_D_15,006_D_43,5
006_D_16,006_D_43,1
006_D_17,006_D_18,1
006_D_17,006_D_31,1
006_D_17,006_D_32,1
006_D_17,006_D_35,1
006_D_17,006_D_42,2
006_D_17,006_D_43,2
006_D_18,006_D_32,1
006_D_18,006_D_35,1
006_D_18,006_D_40,1
006_D_18,006_D_42,1
006_D_18,006_D_43,2
006_D_20,006_D_21,1
006_D_21,006_D_38,1
006_D_21,006_D_40,1
006_D_22,006_D_36,1
006_D_22,006_D_40,2
006_D_22,006_D_42,2
006_D_22,006_D_43,5
006_D_23,006_D_40,1
006_D_27,006_D_32,1
006_D_27,006_D_36,2
006_D_27,006_D_40,1
006_D_34,006_D_43,1
006_D_37,006_D_40,1
006_U_01,006_U_03,1
006_U_01,006_U_10,1
006_U_01,006_U_22,9
006_U_01,006_U_23,1
006_U_01,006_U_26,2
006_U_01,006_U_27,1
006_U_01,006_U_28,2
006_U_01,006_U_29,2
006_U_01,006_U_30,6
006_U_01,006_U_31,1
006_U_01,006_U_32,2
006_U_01,006_U_36,2
006_U_01,006_U_38,1
006_U_01,006_U_39,1
006_U_02,006_U_03,2
006_U_02,006_U_22,2
006_U_02,006_U_26,1
006_U_02,006_U_27,1
006_U_02,006_U_28,3
006_U_02,006_U_31,1
006_U_02,006_U_32,1
006_U_02,006_U_39,3
006_U_03,006_U_07,1
006_U_03,006_U_16,1
006_U_03,006_U_21,1
006_U_03,006_U_22,3
006_U_03,006_U_23,3
006_U_03,006_U_26,1
006_U_03,006_U_32,4
006_U_03,006_U_39,2
006_U_03,006_U_41,1
006_U_03,006_U_44,1
006_U_05,006_U_23,1
006_U_05,006_U_37,1
006_U_05,006_U_43,1
006_U_06,006_U_23,1
006_U_06,006_U_37,1
006_U_07,006_U_16,2
006_U_07,006_U_22,1
006_U_07,006_U_37,1
006_U_07,006_U_39,1
006_U_08,006_U_26,1
006_U_08,006_U_28,1
006_U_08,006_U_30,1
006_U_08,006_U_34,1
006_U_08,006_U_35,1
006_U_08,006_U_36,1
006_U_08,006_U_37,1
006_U_08,006_U_38,1
006_U_08,006_U_39,2
006_U_09,006_U_22,1
006_U_09,006_U_39,1
006_U_11,006_U_16,1
006_U_11,006_U_22,1
006_U_11,006_U_26,1
006_U_11,006_U_32,1
006_U_11,006_U_36,1
006_U_12,006_U_28,1
006_U_12,006_U_43,1
006_U_13,006_U_28,1
006_U_13,006_U_34,1
006_U_13,006_U_41,1
006_U_16,006_U_41,1
006_U_17,006_U_32,3
006_U_18,006_U_30,1
006_U_21,006_U_32,1
006_U_24,006_U_43,1
006_U_25,006_U_35,1
006_U_26,006_U_28,1
006_U_27,006_U_32,1
006_U_28,006_U_36,1
006_U_28,006_U_38,2
006_U_30,006_U_35,1
006_U_31,006_U_32,1
006_U_31,006_U_37,1
006_U_31,006_U_38,1
006_U_33,006_U_37,1
006_U_33,006_U_40,1
006_U_37,006_U_38,1
006_U_37,006_U_39,2
006_U_39,006_U_40,1
006_U_40,006_U_43,1
007_D_01,007_D_02,3
007_D_01,007_D_03,2
007_D_01,007_D_04,1
007_D_01,007_D_05,6
007_D_01,007_D_06,3
007_D_01,007_D_07,4
007_D_01,007_D_08,13
007_D_01,007_D_09,1
007_D_01,007_D_11,1
007_D_01,007_D_15,2
007_D_01,007_D_16,2
007_D_01,007_D_19,2
007_D_02,007_D_07,1
007_D_02,007_D_08,6
007_D_02,007_D_13,1
007_D_03,007_D_05,2
007_D_03,007_D_06,1
007_D_03,007_D_07,2
007_D_03,007_D_08,6
007_D_03,007_D_11,4
007_D_03,007_D_12,3
007_D_03,007_D_13,4
007_D_03,007_D_15,1
007_D_03,007_D_21,1
007_D_04,007_D_05,3
007_D_04,007_D_07,1
007_D_04,007_D_08,17
007_D_04,007_D_09,4
007_D_04,007_D_13,2
007_D_04,007_D_16,3
007_D_04,007_D_19,2
007_D_04,022_U_35,1
007_D_05,007_D_07,2
007_D_05,007_D_08,2
007_D_05,007_D_09,1
007_D_05,007_D_13,2
007_D_05,007_D_15,1
007_D_06,007_D_08,8
007_D_06,007_D_09,3
007_D_06,007_D_11,1
007_D_06,007_D_12,4
007_D_06,007_D_13,2
007_D_06,007_D_15,1
007_D_06,007_D_16,2
007_D_06,007_D_20,1
007_D_06,007_D_21,3
007_D_07,007_D_08,6
007_D_07,007_D_09,2
007_D_07,007_D_10,1
007_D_07,007_D_11,4
007_D_07,007_D_12,6
007_D_07,007_D_13,10
007_D_07,007_D_16,4
007_D_07,007_D_18,2
007_D_07,007_D_19,1
007_D_07,007_D_20,2
007_D_07,007_D_21,2
007_D_08,007_D_09,2
007_D_08,007_D_11,2
007_D_08,007_D_12,2
007_D_08,007_D_13,8
007_D_08,007_D_15,2
007_D_08,007_D_16,4
007_D_08,007_D_17,1
007_D_08,007_D_19,1
007_D_08,007_D_20,1
007_D_09,007_D_10,1
007_D_09,007_D_11,2
007_D_09,007_D_12,3
007_D_09,007_D_13,7
007_D_09,007_D_16,4
007_D_09,007_D_20,1
007_D_09,007_D_21,4
007_D_09,106_U_30,1
007_D_10,007_D_13,1
007_D_10,007_D_14,1
007_D_10,007_D_15,1
007_D_10,007_D_16,2
007_D_10,007_D_18,2
007_D_11,007_D_13,4
007_D_11,007_D_15,1
007_D_11,007_D_16,4
007_D_12,007_D_13,1
007_D_12,007_D_16,2
007_D_12,007_D_19,2
007_D_12,007_D_21,2
007_D_13,007_D_14,1
007_D_13,007_D_16,4
007_D_13,007_D_19,2
007_D_13,007_D_20,3
007_D_13,007_D_21,2
007_D_14,007_D_16,1
007_D_14,007_D_18,2
007_D_14,007_D_19,1
007_D_14,007_D_20,1
007_D_14,007_D_21,1
007_D_15,007_D_16,3
007_D_15,007_D_18,2
007_D_15,007_D_19,2
007_D_15,007_D_20,1
007_D_15,007_D_21,3
007_D_16,007_D_21,2
007_D_17,007_D_18,1
007_U_01,007_U_05,2
007_U_01,007_U_07,2
007_U_01,007_U_08,3
007_U_01,007_U_10,2
007_U_01,007_U_12,5
007_U_01,007_U_13,1
007_U_01,007_U_14,1
007_U_01,007_U_15,2
007_U_01,007_U_16,3
007_U_01,007_U_19,1
007_U_01,007_U_21,1
007_U_02,007_U_07,1
007_U_02,007_U_08,3
007_U_02,007_U_12,3
007_U_02,007_U_13,3
007_U_02,007_U_15,2
007_U_02,007_U_16,1
007_U_03,007_U_06,1
007_U_03,007_U_07,2
007_U_03,007_U_08,3
007_U_03,007_U_10,3
007_U_03,007_U_11,1
007_U_03,007_U_12,1
007_U_03,007_U_13,1
007_U_03,007_U_14,1
007_U_03,007_U_15,1
007_U_03,007_U_18,2
007_U_03,007_U_21,2
007_U_04,007_U_07,2
007_U_04,007_U_08,2
007_U_04,007_U_09,1
007_U_04,007_U_12,2
007_U_04,007_U_13,1
007_U_04,007_U_15,3
007_U_05,007_U_06,1
007_U_05,007_U_07,3
007_U_05,007_U_08,5
007_U_05,007_U_10,1
007_U_05,007_U_11,2
007_U_05,007_U_12,4
007_U_05,007_U_13,1
007_U_05,007_U_15,2
007_U_05,007_U_18,2
007_U_05,007_U_21,1
007_U_05,012_U_22,1
007_U_06,007_U_07,1
007_U_06,007_U_08,1
007_U_06,007_U_11,4
007_U_06,007_U_12,1
007_U_06,007_U_13,3
007_U_06,007_U_15,2
007_U_06,007_U_16,2
007_U_06,007_U_21,1
007_U_07,007_U_08,1
007_U_07,007_U_11,2
007_U_07,007_U_12,8
007_U_07,007_U_13,6
007_U_07,007_U_16,1
007_U_07,007_U_19,1
007_U_07,007_U_21,2
007_U_07,028_D_08,1
007_U_08,007_U_11,3
007_U_08,007_U_12,6
007_U_08,007_U_13,5
007_U_08,007_U_14,1
007_U_08,007_U_15,5
