格式化站点编号,站点名称,等价站点,线路名称,线路方向,单程序号,经度,纬度,在主城区,可能的下车站点
001_U_11,滨北派出所,"['001_U_07', '001_U_09', '001_U_10', '001_U_12', '001_U_13', '001_U_14', '001_D_26', '001_D_27', '001_D_28', '001_D_29', '001_D_30', '001_D_31', '001_D_32', '001_D_33', '002_U_09', '002_U_10', '002_U_11', '002_U_12', '002_U_13', '002_U_14', '002_D_31', '002_D_32', '002_D_33', '002_D_34', '002_D_35', '005_U_43', '005_D_30', '008_U_22', '008_D_22', '014_U_17', '014_U_18', '014_U_19', '014_U_20', '014_U_21', '014_D_25', '014_D_27', '014_D_28', '014_D_29', '015_U_35', '015_D_21', '019_U_29', '019_D_21', '021_U_23', '021_D_20', '037_U_16', '037_U_17', '037_U_18', '037_U_19', '037_U_20', '037_U_21', '037_D_27', '037_D_28', '037_D_29', '037_D_30', '037_D_31', '038_U_18', '038_U_19', '038_U_20', '038_U_21', '038_U_22', '038_U_23', '038_D_26', '038_D_27', '038_D_28', '038_D_29', '038_D_30']",1,上行,11,117.991818,37.469517,False,"['001_U_12', '001_U_13', '001_U_14', '001_U_15', '001_U_16', '001_U_17', '001_U_18', '001_U_19', '001_U_20', '001_U_21', '001_U_22', '001_U_23', '001_U_24', '001_U_25', '001_U_26', '001_U_27', '001_U_28', '001_U_29', '001_U_30', '001_U_31', '001_U_32', '001_U_33', '001_U_34']"
001_U_12,滨北凤凰社区,"['001_U_07', '001_U_09', '001_U_10', '001_U_11', '001_U_13', '001_U_14', '001_U_15', '001_D_25', '001_D_26', '001_D_27', '001_D_28', '001_D_29', '001_D_30', '001_D_31', '001_D_33', '001_D_34', '002_U_09', '002_U_10', '002_U_11', '002_U_12', '002_U_13', '002_U_14', '002_D_30', '002_D_31', '002_D_32', '002_D_33', '002_D_34', '002_D_35', '005_U_43', '005_U_44', '005_D_29', '005_D_30', '008_U_22', '008_U_23', '008_D_21', '008_D_22', '014_U_18', '014_U_19', '014_U_20', '014_U_21', '014_U_22', '014_D_24', '014_D_25', '014_D_26', '014_D_27', '014_D_28', '015_U_35', '015_U_36', '015_D_20', '015_D_21', '019_U_29', '019_U_30', '019_D_20', '019_D_21', '021_U_23', '021_U_24', '021_D_19', '021_D_20', '037_U_16', '037_U_17', '037_U_18', '037_U_19', '037_U_20', '037_U_21', '037_D_26', '037_D_27', '037_D_28', '037_D_29', '037_D_30', '037_D_31', '037_D_32', '038_U_18', '038_U_19', '038_U_20', '038_U_21', '038_U_22', '038_U_23', '038_D_25', '038_D_26', '038_D_27', '038_D_28', '038_D_29', '038_D_30', '038_D_31']",1,上行,12,117.990751,37.46834,False,"['001_U_13', '001_U_14', '001_U_15', '001_U_16', '001_U_17', '001_U_18', '001_U_19', '001_U_20', '001_U_21', '001_U_22', '001_U_23', '001_U_24', '001_U_25', '001_U_26', '001_U_27', '001_U_28', '001_U_29', '001_U_30', '001_U_31', '001_U_32', '001_U_33', '001_U_34']"
001_U_13,新元商城,"['001_U_06', '001_U_07', '001_U_10', '001_U_11', '001_U_12', '001_U_14', '001_U_15', '001_D_25', '001_D_26', '001_D_27', '001_D_28', '001_D_29', '001_D_30', '001_D_31', '001_D_33', '001_D_34', '001_D_35', '002_U_10', '002_U_11', '002_U_12', '002_U_13', '002_U_14', '002_D_30', '002_D_31', '002_D_32', '002_D_33', '002_D_34', '005_U_42', '005_U_43', '005_U_44', '005_D_29', '005_D_30', '005_D_31', '005_D_32', '008_U_21', '008_U_22', '008_U_23', '008_D_21', '008_D_22', '008_D_23', '008_D_24', '014_U_19', '014_U_20', '014_U_21', '014_U_22', '014_D_24', '014_D_25', '014_D_26', '014_D_27', '014_D_28', '015_U_34', '015_U_35', '015_U_36', '015_D_20', '015_D_21', '015_D_22', '015_D_23', '019_U_28', '019_U_29', '019_U_30', '019_D_20', '019_D_21', '019_D_22', '019_D_23', '021_U_23', '021_U_24', '021_D_19', '021_D_20', '037_U_15', '037_U_16', '037_U_17', '037_U_18', '037_U_19', '037_U_20', '037_U_21', '037_D_26', '037_D_27', '037_D_28', '037_D_29', '037_D_30', '037_D_31', '037_D_32', '037_D_33', '038_U_17', '038_U_18', '038_U_19', '038_U_20', '038_U_21', '038_U_22', '038_U_23', '038_D_25', '038_D_26', '038_D_27', '038_D_28', '038_D_29', '038_D_30', '038_D_31']",1,上行,13,117.98743,37.468007,False,"['001_U_14', '001_U_15', '001_U_16', '001_U_17', '001_U_18', '001_U_19', '001_U_20', '001_U_21', '001_U_22', '001_U_23', '001_U_24', '001_U_25', '001_U_26', '001_U_27', '001_U_28', '001_U_29', '001_U_30', '001_U_31', '001_U_32', '001_U_33', '001_U_34']"
001_U_14,桐霖阁,"['001_U_06', '001_U_07', '001_U_11', '001_U_12', '001_U_13', '001_U_15', '001_D_25', '001_D_26', '001_D_27', '001_D_28', '001_D_29', '001_D_33', '001_D_34', '001_D_35', '002_U_11', '002_U_12', '002_U_13', '002_U_14', '002_D_30', '002_D_31', '002_D_32', '002_D_33', '005_U_42', '005_U_43', '005_U_44', '005_D_29', '005_D_30', '005_D_31', '005_D_32', '008_U_21', '008_U_22', '008_U_23', '008_D_21', '008_D_22', '008_D_23', '008_D_24', '014_U_20', '014_U_21', '014_U_22', '014_D_24', '014_D_25', '014_D_26', '015_U_34', '015_U_35', '015_U_36', '015_D_20', '015_D_21', '015_D_22', '015_D_23', '019_U_28', '019_U_29', '019_U_30', '019_D_20', '019_D_21', '019_D_22', '019_D_23', '021_U_23', '021_U_24', '021_D_19', '021_D_20', '037_U_15', '037_U_16', '037_U_17', '037_U_18', '037_U_19', '037_U_20', '037_U_21', '037_D_26', '037_D_27', '037_D_28', '037_D_29', '037_D_30', '037_D_31', '037_D_32', '037_D_33', '038_U_17', '038_U_18', '038_U_19', '038_U_20', '038_U_21', '038_U_22', '038_U_23', '038_D_25', '038_D_26', '038_D_27', '038_D_28', '038_D_29', '038_D_30', '038_D_31']",1,上行,14,117.98467,37.466159,False,"['001_U_15', '001_U_16', '001_U_17', '001_U_18', '001_U_19', '001_U_20', '001_U_21', '001_U_22', '001_U_23', '001_U_24', '001_U_25', '001_U_26', '001_U_27', '001_U_28', '001_U_29', '001_U_30', '001_U_31', '001_U_32', '001_U_33', '001_U_34']"
001_U_15,福利院,"['001_U_12', '001_U_13', '001_U_14', '001_U_16', '001_D_24', '001_D_25', '001_D_26', '001_D_27', '001_D_28', '002_U_11', '002_U_12', '002_U_13', '002_U_14', '002_U_15', '002_D_29', '002_D_30', '002_D_31', '002_D_32', '002_D_33', '005_U_43', '005_U_44', '005_U_45', '005_D_28', '005_D_29', '005_D_30', '008_U_22', '008_U_23', '008_U_24', '008_D_20', '008_D_21', '008_D_22', '014_U_20', '014_U_21', '014_U_22', '014_U_23', '014_D_23', '014_D_24', '014_D_25', '015_U_35', '015_U_36', '015_U_37', '015_D_19', '015_D_20', '015_D_21', '019_U_29', '019_U_30', '019_U_31', '019_D_19', '019_D_20', '019_D_21', '021_U_23', '021_U_24', '021_U_25', '021_D_18', '021_D_19', '021_D_20', '037_U_18', '037_U_19', '037_U_20', '037_U_21', '037_U_22', '037_D_25', '037_D_26', '037_D_27', '037_D_28', '037_D_29', '038_U_20', '038_U_21', '038_U_22', '038_U_23', '038_U_24', '038_D_24', '038_D_25', '038_D_26', '038_D_27', '038_D_28']",1,上行,15,117.987463,37.462226,False,"['001_U_16', '001_U_17', '001_U_18', '001_U_19', '001_U_20', '001_U_21', '001_U_22', '001_U_23', '001_U_24', '001_U_25', '001_U_26', '001_U_27', '001_U_28', '001_U_29', '001_U_30', '001_U_31', '001_U_32', '001_U_33', '001_U_34']"
001_U_16,滨北加油站,"['001_U_15', '001_U_17', '001_D_23', '001_D_24', '001_D_25', '002_U_13', '002_U_14', '002_U_15', '002_U_16', '002_D_28', '002_D_29', '002_D_30', '002_D_31', '005_U_44', '005_U_45', '005_U_46', '005_D_27', '005_D_28', '005_D_29', '008_U_23', '008_U_24', '008_U_25', '008_D_19', '008_D_20', '008_D_21', '014_U_22', '014_U_23', '014_U_24', '014_D_22', '014_D_23', '014_D_24', '015_U_36', '015_U_37', '015_U_38', '015_D_18', '015_D_19', '015_D_20', '019_U_30', '019_U_31', '019_U_32', '019_D_18', '019_D_19', '019_D_20', '021_U_24', '021_U_25', '021_U_26', '021_D_18', '021_D_19', '037_U_20', '037_U_21', '037_U_22', '037_U_23', '037_D_24', '037_D_25', '037_D_26', '037_D_27', '038_U_22', '038_U_23', '038_U_24', '038_U_25', '038_D_23', '038_D_24', '038_D_25', '038_D_26']",1,上行,16,117.990527,37.457984,False,"['001_U_17', '001_U_18', '001_U_19', '001_U_20', '001_U_21', '001_U_22', '001_U_23', '001_U_24', '001_U_25', '001_U_26', '001_U_27', '001_U_28', '001_U_29', '001_U_30', '001_U_31', '001_U_32', '001_U_33', '001_U_34']"
001_U_17,滨澳线缆,"['001_U_16', '001_D_23', '001_D_24', '002_U_15', '002_U_16', '002_D_28', '002_D_29', '002_D_30', '005_U_45', '005_U_46', '005_D_27', '005_D_28', '008_U_24', '008_U_25', '008_D_19', '008_D_20', '014_U_23', '014_U_24', '014_D_22', '014_D_23', '015_U_37', '015_U_38', '015_D_18', '015_D_19', '019_U_31', '019_U_32', '019_D_18', '019_D_19', '021_U_25', '021_U_26', '021_D_18', '037_U_22', '037_U_23', '037_D_24', '037_D_25', '037_D_26', '038_U_24', '038_U_25', '038_D_23', '038_D_24', '038_D_25']",1,上行,17,117.992525,37.455062,False,"['001_U_18', '001_U_19', '001_U_20', '001_U_21', '001_U_22', '001_U_23', '001_U_24', '001_U_25', '001_U_26', '001_U_27', '001_U_28', '001_U_29', '001_U_30', '001_U_31', '001_U_32', '001_U_33', '001_U_34']"
001_U_18,皂刘家,"['001_U_19', '001_D_21', '001_D_22', '002_U_17', '002_U_18', '002_D_26', '002_D_27', '005_U_47', '005_U_48', '005_D_25', '005_D_26', '008_U_26', '008_U_27', '008_D_17', '008_D_18', '014_U_25', '014_U_26', '014_D_20', '014_D_21', '015_U_39', '015_U_40', '015_D_16', '015_D_17', '019_U_33', '019_U_34', '019_D_16', '019_D_17', '021_U_27', '021_U_28', '021_D_16', '021_D_17', '037_U_24', '037_U_25', '037_D_22', '037_D_23', '038_U_26', '038_U_27', '038_D_21', '038_D_22', '112_U_30', '112_U_31', '112_D_02', '112_D_03']",1,上行,18,117.997273,37.448192,False,"['001_U_19', '001_U_20', '001_U_21', '001_U_22', '001_U_23', '001_U_24', '001_U_25', '001_U_26', '001_U_27', '001_U_28', '001_U_29', '001_U_30', '001_U_31', '001_U_32', '001_U_33', '001_U_34']"
001_U_19,岩浩公司,"['001_U_18', '001_U_20', '001_D_20', '001_D_21', '001_D_22', '002_U_17', '002_U_18', '002_U_19', '002_D_25', '002_D_26', '002_D_27', '005_U_47', '005_U_48', '005_U_49', '005_D_24', '005_D_25', '005_D_26', '008_U_26', '008_U_27', '008_U_28', '008_D_16', '008_D_17', '008_D_18', '014_U_25', '014_U_26', '014_U_27', '014_D_19', '014_D_20', '014_D_21', '015_U_39', '015_U_40', '015_U_41', '015_D_15', '015_D_16', '015_D_17', '019_U_33', '019_U_34', '019_U_35', '019_D_15', '019_D_16', '019_D_17', '021_U_27', '021_U_28', '021_U_29', '021_D_15', '021_D_16', '021_D_17', '037_U_24', '037_U_25', '037_U_26', '037_D_21', '037_D_22', '037_D_23', '038_U_26', '038_U_27', '038_U_28', '038_D_20', '038_D_21', '038_D_22', '112_U_29', '112_U_30', '112_U_31', '112_D_02', '112_D_03', '112_D_04']",1,上行,19,118.000272,37.443803,False,"['001_U_20', '001_U_21', '001_U_22', '001_U_23', '001_U_24', '001_U_25', '001_U_26', '001_U_27', '001_U_28', '001_U_29', '001_U_30', '001_U_31', '001_U_32', '001_U_33', '001_U_34']"
001_U_20,滨岭商城,"['001_U_19', '001_U_21', '001_D_19', '001_D_20', '001_D_21', '002_U_18', '002_U_19', '002_U_20', '002_D_24', '002_D_25', '002_D_26', '005_U_48', '005_U_49', '005_U_50', '005_D_23', '005_D_24', '005_D_25', '008_U_27', '008_U_28', '008_U_29', '008_D_15', '008_D_16', '008_D_17', '014_U_26', '014_U_27', '014_U_28', '014_D_18', '014_D_19', '014_D_20', '015_U_40', '015_U_41', '015_U_42', '015_D_14', '015_D_15', '015_D_16', '019_U_34', '019_U_35', '019_U_36', '019_D_14', '019_D_15', '019_D_16', '021_U_28', '021_U_29', '021_U_30', '021_D_14', '021_D_15', '021_D_16', '037_U_25', '037_U_26', '037_U_27', '037_D_20', '037_D_21', '037_D_22', '038_U_27', '038_U_28', '038_U_29', '038_D_19', '038_D_20', '038_D_21', '112_U_28', '112_U_29', '112_U_30', '112_U_31', '112_D_02', '112_D_03', '112_D_04', '112_D_05']",1,上行,20,118.003753,37.439484,False,"['001_U_21', '001_U_22', '001_U_23', '001_U_24', '001_U_25', '001_U_26', '001_U_27', '001_U_28', '001_U_29', '001_U_30', '001_U_31', '001_U_32', '001_U_33', '001_U_34']"
001_U_21,东方红路口,"['001_U_20', '001_U_22', '001_U_23', '001_D_18', '001_D_19', '001_D_20', '002_U_19', '002_U_20', '002_U_21', '002_U_22', '002_D_23', '002_D_24', '002_D_25', '005_U_49', '005_U_50', '005_U_51', '005_U_52', '005_D_22', '005_D_23', '005_D_24', '008_U_28', '008_U_29', '008_U_30', '008_U_31', '008_D_14', '008_D_15', '008_D_16', '014_U_27', '014_U_28', '014_U_29', '014_U_30', '014_D_17', '014_D_18', '014_D_19', '015_U_41', '015_U_42', '015_U_43', '015_U_44', '015_D_13', '015_D_14', '015_D_15', '019_U_35', '019_U_36', '019_U_37', '019_U_38', '019_D_13', '019_D_14', '019_D_15', '021_U_29', '021_U_30', '021_U_31', '021_U_32', '021_D_13', '021_D_14', '021_D_15', '037_U_26', '037_U_27', '037_U_28', '037_U_29', '037_D_19', '037_D_20', '037_D_21', '038_U_28', '038_U_29', '038_U_30', '038_U_31', '038_D_18', '038_D_19', '038_D_20', '112_U_29', '112_D_04']",1,上行,21,118.009008,37.433836,False,"['001_U_22', '001_U_23', '001_U_24', '001_U_25', '001_U_26', '001_U_27', '001_U_28', '001_U_29', '001_U_30', '001_U_31', '001_U_32', '001_U_33', '001_U_34']"
001_U_22,创业大厦,"['001_U_21', '001_U_23', '001_D_18', '002_U_20', '002_U_21', '002_U_22', '002_D_23', '005_U_50', '005_U_51', '005_U_52', '005_D_22', '008_U_29', '008_U_30', '008_U_31', '008_D_14', '014_U_28', '014_U_29', '014_U_30', '014_D_17', '015_U_42', '015_U_43', '015_U_44', '015_D_13', '019_U_36', '019_U_37', '019_U_38', '019_D_13', '021_U_30', '021_U_31', '021_U_32', '021_D_13', '037_U_27', '037_U_28', '037_U_29', '037_D_19', '038_U_29', '038_U_30', '038_U_31', '038_D_18']",1,上行,22,118.011547,37.430997,True,"['001_U_23', '001_U_24', '001_U_25', '001_U_26', '001_U_27', '001_U_28', '001_U_29', '001_U_30', '001_U_31', '001_U_32', '001_U_33', '001_U_34']"
